datetime,portfolio_value,cash,return
2020-01-02 09:30:00-05:00,100000.0,100000.0,
2020-01-03 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-04 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-06 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-07 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-08 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-09 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-10 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-11 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-13 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-14 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-15 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-16 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-17 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-18 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-21 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-22 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-23 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-24 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-25 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-27 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-28 09:30:00-05:00,100000.0,100000.0,0.0
2020-01-29 09:30:00-05:00,99332.23843383789,-1461.3136978149414,-0.006677615661621061
2020-01-30 09:30:00-05:00,100435.86971282959,-1461.3136978149414,0.011110504468564875
2020-01-31 09:30:00-05:00,99119.8938369751,-1461.3136978149414,-0.01310264828310026
2020-02-01 09:30:00-05:00,101141.35087585449,-1461.3136978149414,0.02039405976568265
2020-02-03 09:30:00-05:00,98719.65470123291,98719.65470123291,-0.02394368034093275
2020-02-04 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-05 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-06 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-07 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-08 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-10 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-11 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-12 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-13 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-14 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-15 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-18 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-19 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-20 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-21 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-22 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-24 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-25 09:30:00-05:00,98719.65470123291,98719.65470123291,0.0
2020-02-26 09:30:00-05:00,101802.51596832275,2638.9138565063477,0.03122844459312457
2020-02-27 09:30:00-05:00,99251.80075836182,2638.9138565063477,-0.025055522309042177
2020-02-28 09:30:00-05:00,96893.46146392822,2638.9138565063477,-0.023761173867013263
2020-02-29 09:30:00-05:00,91041.91385650635,2638.9138565063477,-0.06039156325940842
2020-03-02 09:30:00-05:00,91041.91385650635,2638.9138565063477,0.0
2020-03-03 09:30:00-05:00,96170.32273101807,2638.9138565063477,0.05633019624999025
2020-03-04 09:30:00-05:00,99478.77878570557,2638.9138565063477,0.0344020479575704
2020-03-05 09:30:00-05:00,96697.63272857666,2638.9138565063477,-0.02795717932082753
2020-03-06 09:30:00-05:00,96072.75681304932,2638.9138565063477,-0.0064621635286701284
2020-03-07 09:30:00-05:00,91011.46674346924,2638.9138565063477,-0.05268184485877703
